Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_3_T1_1 Spectral Count	ALS_3_T2_2 Spectral Count	ALS_3_T3_3 Spectral Count	ALS_3_T4_4 Spectral Count	ALS_3_T1_1 Unique Spectral Count	ALS_3_T2_2 Unique Spectral Count	ALS_3_T3_3 Unique Spectral Count	ALS_3_T4_4 Unique Spectral Count	ALS_3_T1_1 Total Spectral Count	ALS_3_T2_2 Total Spectral Count	ALS_3_T3_3 Total Spectral Count	ALS_3_T4_4 Total Spectral Count	ALS_3_T1_1 Intensity	ALS_3_T2_2 Intensity	ALS_3_T3_3 Intensity	ALS_3_T4_4 Intensity	ALS_3_T1_1 MaxLFQ Intensity	ALS_3_T2_2 MaxLFQ Intensity	ALS_3_T3_3 MaxLFQ Intensity	ALS_3_T4_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-72	0.8729	0.9948	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1068419.0	663095.9	785054.4	651891.3	0.0	0.0	0.0	0.0	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9994	0.9984	2	4	4	8	1	1	1	1	1	1	1	1	2	2	2	2	2415552.0	2253921.2	2168491.2	2433857.8	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-28	0.935	0.9975	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	511764.72	617563.75	551615.1	635514.25	0.0	0.0	0.0	0.0	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.9713	0.9989	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1765537.1	1337836.9	1563922.6	1298264.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-51	1.0	0.9989	2	8	8	8	2	2	2	2	2	2	2	2	2	2	2	2	2051532.5	2110480.8	1737722.9	1989072.8	1178014.1	1187092.6	995459.7	1111871.4	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	0.9574	0.9984	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	2751379.8	3632893.0	2512352.5	4096470.2	0.0	0.0	0.0	0.0	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0C4DH43|HV70D_HUMAN	A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-70D	0.9999	0.9855	2	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1225129.8	1122408.2	1029154.25	1074533.6	899433.1	805331.94	642794.4	851292.7	
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-6	1.0	0.999	2	5	0	5	2	1	1	1	0	0	0	0	2	1	1	1	3569579.0	4423070.5	2949175.2	4296242.5	2214502.5	2730483.5	1720640.6	2624762.2	
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	320	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1-like 3	1.0	0.999	2	6	0	6	2	2	1	1	0	0	0	0	2	2	1	1	2438412.2	1578027.5	3020481.5	1587838.6	1383157.0	1354396.6	1992948.4	1325532.8	sp|P09651|ROA1_HUMAN
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	Homo sapiens	1:Experimental evidence at protein level	V-set and transmembrane domain-containing protein 2B	0.9719	0.999	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1950570.6	1709072.1	2594216.0	1501755.4	0.0	0.0	0.0	0.0	
sp|A7E2Y1|MYH7B_HUMAN	A7E2Y1	MYH7B_HUMAN	MYH7B	1983	Homo sapiens	1:Experimental evidence at protein level	Myosin-7B	0.0	0.9925	2	2	0	4	1	0	1	0	0	0	0	0	2	0	2	0	544938.1	356762.97	692972.5	372731.1	0.0	0.0	0.0	0.0	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	4	16	4	16	4	4	4	4	1	1	1	1	4	4	4	4	1.6351016E8	2.7950208E7	1.42523328E8	1.45937056E8	7.7679992E7	6.7709056E7	6.832976E7	7.6104744E7	
sp|C9JVW0|INAM1_HUMAN	C9JVW0	INAM1_HUMAN	INAFM1	142	Homo sapiens	1:Experimental evidence at protein level	Putative transmembrane protein INAFM1	0.8457	0.9935	1	2	2	2	0	1	0	1	0	1	0	1	0	1	0	1	37980.746	1612938.8	0.0	1590012.5	0.0	0.0	0.0	0.0	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	0.7415	0.9876	1	3	3	3	1	0	1	1	1	0	1	1	1	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0	0.999	5	8	8	8	3	2	2	1	3	2	2	1	3	2	2	1	2610705.2	2672279.5	2668781.0	2451137.0	1010836.3	1050127.1	1002808.44	872852.1	
sp|O00451|GFRA2_HUMAN	O00451	GFRA2_HUMAN	GFRA2	464	Homo sapiens	1:Experimental evidence at protein level	GDNF family receptor alpha-2	0.8479	0.9936	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	735083.2	911618.94	546683.9	835317.4	0.0	0.0	0.0	0.0	
sp|O00462|MANBA_HUMAN	O00462	MANBA_HUMAN	MANBA	879	Homo sapiens	1:Experimental evidence at protein level	Beta-mannosidase	0.6024	0.9768	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	490308.47	237111.31	342785.66	0.0	0.0	0.0	0.0	0.0	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens	1:Experimental evidence at protein level	Agrin	1.0	0.999	5	11	11	11	5	1	3	2	5	1	3	2	5	1	3	2	6158326.5	4392585.5	4215762.5	4092210.5	2444519.2	1929299.5	1888701.5	1826112.1	
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein	1.0	0.999	21	79	79	79	22	19	22	16	22	19	22	16	22	19	22	16	2.4437064E7	2.140599E7	2.9386126E7	2.4164646E7	1.0292327E7	9584892.0	1.0050641E7	1.0128996E7	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0	0.999	5	14	14	14	3	3	4	4	3	3	4	4	3	3	4	4	8295769.0	7042433.0	9304186.0	6492174.0	4627913.5	4094248.2	5545423.0	3368491.0	
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin superfamily containing leucine-rich repeat protein	1.0	0.998	2	5	5	5	2	0	2	1	2	0	2	1	2	0	2	1	1363730.9	840071.8	1235565.8	1309095.0	779928.6	482832.7	706309.75	740108.8	
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	Homo sapiens	1:Experimental evidence at protein level	Neurocan core protein	1.0	0.999	12	34	33	34	10	9	8	7	9	9	8	7	10	9	8	7	1.0784738E7	1.1155115E7	1.115431E7	1.1570392E7	6356281.0	6238884.5	6642485.5	6327344.5	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.9987	5	9	9	9	5	1	2	1	5	1	2	1	5	1	2	1	2263143.0	1765655.5	2090782.0	1963616.9	1216712.8	964135.6	1207709.1	899543.44	
sp|O14917|PCD17_HUMAN	O14917	PCD17_HUMAN	PCDH17	1159	Homo sapiens	1:Experimental evidence at protein level	Protocadherin-17	0.9184	0.9968	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	488253.97	518976.0	708729.6	351127.72	0.0	0.0	0.0	0.0	
sp|O14983|AT2A1_HUMAN	O14983	AT2A1_HUMAN	ATP2A1	1001	Homo sapiens	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	1.0	0.985	3	4	1	4	2	0	2	0	1	0	0	0	2	0	2	0	1510017.2	215746.47	2327615.5	432506.6	737493.9	0.0	1170570.0	317952.9	
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens	1:Experimental evidence at protein level	Plexin-B2	0.9349	0.9975	1	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	789815.56	0.0	575671.1	0.0	0.0	0.0	0.0	0.0	
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	Homo sapiens	1:Experimental evidence at protein level	Neurosecretory protein VGF	1.0	0.999	23	58	58	58	19	15	12	12	19	15	12	12	19	15	12	12	1.7421682E7	1.5328514E7	1.225177E7	1.3376836E7	6896248.0	7134598.0	5806290.5	6691429.5	
sp|O15335|CHAD_HUMAN	O15335	CHAD_HUMAN	CHAD	359	Homo sapiens	1:Experimental evidence at protein level	Chondroadherin	0.9653	0.9987	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	369618.7	396943.72	348310.5	211735.17	0.0	0.0	0.0	0.0	
sp|O15354|GPR37_HUMAN	O15354	GPR37_HUMAN	GPR37	613	Homo sapiens	1:Experimental evidence at protein level	Prosaposin receptor GPR37	1.0	0.9985	2	6	6	6	2	1	1	2	2	1	1	2	2	1	1	2	2235445.2	870701.94	2096920.2	716594.25	1151716.0	0.0	1081963.2	0.0	
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule 2	1.0	0.999	15	37	37	37	11	7	9	10	11	7	9	10	11	7	9	10	1.0904232E7	7906820.0	1.3691178E7	7590045.0	4230356.5	3745276.5	4199841.5	3867198.0	
sp|O15527|OGG1_HUMAN	O15527	OGG1_HUMAN	OGG1	345	Homo sapiens	1:Experimental evidence at protein level	N-glycosylase/DNA lyase	0.6997	0.9848	1	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	2229245.5	1347091.0	2931758.8	1410421.6	0.0	0.0	0.0	0.0	
sp|O43286|B4GT5_HUMAN	O43286	B4GT5_HUMAN	B4GALT5	388	Homo sapiens	1:Experimental evidence at protein level	Beta-1,4-galactosyltransferase 5	0.6915	0.9842	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	219231.0	267550.25	305381.38	249746.56	0.0	0.0	0.0	0.0	sp|P15291|B4GT1_HUMAN
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R	0.435	0.9554	1	2	0	2	1	0	1	0	0	0	0	0	1	0	1	0	312519.84	96407.49	445843.72	104617.03	0.0	0.0	0.0	0.0	sp|O60506|HNRPQ_HUMAN
sp|O43405|COCH_HUMAN	O43405	COCH_HUMAN	COCH	550	Homo sapiens	1:Experimental evidence at protein level	Cochlin	0.9542	0.9983	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1720513.8	1201950.1	1476830.1	1524201.9	0.0	0.0	0.0	0.0	
sp|O43432|IF4G3_HUMAN	O43432	IF4G3_HUMAN	EIF4G3	1585	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4 gamma 3	0.7724	0.9895	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	Homo sapiens	1:Experimental evidence at protein level	Trans-Golgi network integral membrane protein 2	1.0	0.999	4	11	11	11	3	3	3	2	3	3	3	2	3	3	3	2	3176588.0	3566003.2	2993180.0	3745359.5	1421221.0	1526133.8	1246158.0	1592598.6	
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	Homo sapiens	1:Experimental evidence at protein level	Beta-1,4-glucuronyltransferase 1	1.0	0.999	11	48	48	48	14	10	12	12	14	10	12	12	14	10	12	12	7.2962032E7	6.6171048E7	6.4489524E7	6.504392E7	3.1608014E7	3.2659412E7	2.5889778E7	3.1286496E7	
sp|O43556|SGCE_HUMAN	O43556	SGCE_HUMAN	SGCE	437	Homo sapiens	1:Experimental evidence at protein level	Epsilon-sarcoglycan	0.7268	0.9867	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	913277.2	799560.8	850070.25	585841.75	0.0	0.0	0.0	0.0	
sp|O43567|RNF13_HUMAN	O43567	RNF13_HUMAN	RNF13	381	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RNF13	0.967	0.9988	1	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	709795.1	567360.1	482137.16	0.0	0.0	0.0	0.0	0.0	
sp|O43827|ANGL7_HUMAN	O43827	ANGL7_HUMAN	ANGPTL7	346	Homo sapiens	1:Experimental evidence at protein level	Angiopoietin-related protein 7	0.6861	0.9838	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	318101.72	294117.0	218973.94	325461.62	0.0	0.0	0.0	0.0	
sp|O60241|AGRB2_HUMAN	O60241	AGRB2_HUMAN	ADGRB2	1585	Homo sapiens	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor B2	1.0	0.9982	3	6	6	6	1	2	1	2	1	2	1	2	1	2	1	2	948824.25	1394230.5	1039770.06	1114962.9	555747.75	815644.56	589884.6	646607.2	
sp|O60279|SUSD5_HUMAN	O60279	SUSD5_HUMAN	SUSD5	629	Homo sapiens	1:Experimental evidence at protein level	Sushi domain-containing protein 5	1.0	0.9971	3	7	7	7	2	2	2	1	2	2	2	1	2	2	2	1	1365529.9	2048576.1	1324135.0	1710305.8	604867.25	886329.3	538166.75	728281.06	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0	0.9974	3	10	0	10	3	2	3	2	0	0	0	0	3	2	3	2	2.4024148E7	7193251.5	3.4729556E7	8182821.0	1.5830799E7	6093164.0	2.3086808E7	6422207.5	sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
sp|O60883|G37L1_HUMAN	O60883	G37L1_HUMAN	GPR37L1	481	Homo sapiens	1:Experimental evidence at protein level	G-protein coupled receptor 37-like 1	1.0	0.9972	2	6	6	6	2	1	2	1	2	1	2	1	2	1	2	1	1204453.5	615237.8	1207629.8	1418239.0	723743.0	0.0	700504.2	849610.06	
sp|O75015|FCG3B_HUMAN	O75015	FCG3B_HUMAN	FCGR3B	233	Homo sapiens	1:Experimental evidence at protein level	Low affinity immunoglobulin gamma Fc region receptor III-B	1.0	0.9966	2	3	0	3	2	0	1	0	0	0	0	0	2	0	1	0	1320193.6	1135988.1	1243545.2	1406254.5	717477.0	621944.56	679899.3	768529.8	sp|P08637|FCG3A_HUMAN
sp|O75071|EFC14_HUMAN	O75071	EFC14_HUMAN	EFCAB14	495	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 14	0.9723	0.999	1	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	1198987.1	694118.75	683259.94	0.0	0.0	0.0	0.0	0.0	
sp|O75093|SLIT1_HUMAN	O75093	SLIT1_HUMAN	SLIT1	1534	Homo sapiens	1:Experimental evidence at protein level	Slit homolog 1 protein	0.4399	0.9563	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	616838.1	582238.75	691140.2	727992.06	0.0	0.0	0.0	0.0	
sp|O75144|ICOSL_HUMAN	O75144	ICOSL_HUMAN	ICOSLG	302	Homo sapiens	1:Experimental evidence at protein level	ICOS ligand	1.0	0.9978	3	8	8	8	3	2	2	1	3	2	2	1	3	2	2	1	3175702.0	2629288.2	3002969.5	2554761.0	1701366.6	1388413.2	1724177.5	1370970.5	
sp|O75326|SEM7A_HUMAN	O75326	SEM7A_HUMAN	SEMA7A	666	Homo sapiens	1:Experimental evidence at protein level	Semaphorin-7A	1.0	0.999	13	49	49	49	15	13	11	10	15	13	11	10	15	13	11	10	6996518.0	6353724.0	7534576.0	6931127.0	2733151.0	2941286.5	2518711.5	3019018.0	
sp|O75443|TECTA_HUMAN	O75443	TECTA_HUMAN	TECTA	2155	Homo sapiens	1:Experimental evidence at protein level	Alpha-tectorin	0.5647	0.9731	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	1553545.6	1373798.6	1329640.1	1726346.6	0.0	0.0	0.0	0.0	
sp|O75509|TNR21_HUMAN	O75509	TNR21_HUMAN	TNFRSF21	655	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 21	0.8947	0.9958	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	476058.9	1253237.6	1164695.0	1352337.5	0.0	0.0	0.0	0.0	
sp|O75787|RENR_HUMAN	O75787	RENR_HUMAN	ATP6AP2	350	Homo sapiens	1:Experimental evidence at protein level	Renin receptor	0.9685	0.9988	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	288999.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	Homo sapiens	1:Experimental evidence at protein level	Attractin	1.0	0.9988	5	11	11	11	5	1	4	1	5	1	4	1	5	1	4	1	3140136.2	2316960.8	2785419.0	2512157.5	1079994.8	1166720.1	1147968.6	1432547.6	
