Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_4_T1_1 Spectral Count	ALS_4_T2_2 Spectral Count	ALS_4_T3_3 Spectral Count	ALS_4_T4_4 Spectral Count	ALS_4_T1_1 Unique Spectral Count	ALS_4_T2_2 Unique Spectral Count	ALS_4_T3_3 Unique Spectral Count	ALS_4_T4_4 Unique Spectral Count	ALS_4_T1_1 Total Spectral Count	ALS_4_T2_2 Total Spectral Count	ALS_4_T3_3 Total Spectral Count	ALS_4_T4_4 Total Spectral Count	ALS_4_T1_1 Intensity	ALS_4_T2_2 Intensity	ALS_4_T3_3 Intensity	ALS_4_T4_4 Intensity	ALS_4_T1_1 MaxLFQ Intensity	ALS_4_T2_2 MaxLFQ Intensity	ALS_4_T3_3 MaxLFQ Intensity	ALS_4_T4_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	0.9999	0.9945	2	5	5	5	1	2	1	1	1	2	1	1	1	2	1	1	2574990.8	2888213.0	2271680.5	6103293.0	2390993.8	2755011.8	1813845.0	3891946.2	
sp|A0A0B4J1V1|HV321_HUMAN	A0A0B4J1V1	HV321_HUMAN	IGHV3-21	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-21	1.0	0.9982	2	5	0	6	0	2	2	1	0	0	0	0	0	2	2	2	3158898.2	3546471.0	8998400.0	2352095.2	1942179.2	2264671.2	5413574.0	0.0	sp|A0A0B4J1X8|HV343_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P01762|HV311_HUMAN, sp|P01763|HV348_HUMAN, sp|P01766|HV313_HUMAN, sp|P01780|HV307_HUMAN, sp|P01782|HV309_HUMAN, sp|P0DP04|HV43D_HUMAN
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1D-13	0.9674	0.999	1	3	0	3	1	1	0	1	0	0	0	0	1	1	0	1	441532.4	635410.8	853379.3	456674.38	0.0	0.0	0.0	0.0	sp|P0DP09|KV113_HUMAN
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9978	0.9945	2	3	3	7	1	1	0	1	1	1	0	1	2	2	1	2	2412903.8	2187752.8	2080644.8	1716148.4	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-28	0.96	0.9987	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	1376771.8	1001292.25	523644.97	1352952.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.9562	0.9952	2	2	2	3	1	0	0	1	1	0	0	1	1	0	0	2	507819.56	582595.2	579332.7	744744.56	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-51	1.0	0.999	2	8	8	8	2	2	2	2	2	2	2	2	2	2	2	2	3194253.0	2802361.5	3736683.2	2894022.0	2262626.8	1984980.5	2726030.0	2077888.4	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	0.9453	0.9982	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	2817791.0	933524.1	2810896.8	3266699.2	0.0	0.0	0.0	0.0	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0J9YXX1|HV5X1_HUMAN	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-10-1	0.5716	0.9778	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	1435693.1	841880.5	638291.3	1376523.2	0.0	0.0	0.0	0.0	
sp|A0M8Q6|IGLC7_HUMAN	A0M8Q6	IGLC7_HUMAN	IGLC7	106	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda constant 7	0.9915	0.9787	3	1	1	9	0	0	0	1	0	0	0	1	2	2	2	3	0.0	0.0	0.0	372302.8	0.0	0.0	0.0	0.0	
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	Homo sapiens	1:Experimental evidence at protein level	V-set and transmembrane domain-containing protein 2B	0.9669	0.999	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	2209949.5	946147.0	1473487.9	1477496.8	0.0	0.0	0.0	0.0	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	4	15	3	15	4	4	3	4	1	1	0	1	4	4	3	4	1.16464352E8	1.13694848E8	1.99818128E8	1.04787272E8	1.34390016E8	1.124782E8	8.9319816E7	1.14842264E8	
sp|C9JVW0|INAM1_HUMAN	C9JVW0	INAM1_HUMAN	INAFM1	142	Homo sapiens	1:Experimental evidence at protein level	Putative transmembrane protein INAFM1	0.7174	0.9882	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	443913.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	0.6022	0.9804	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	0.0	1380230.5	0.0	1250682.6	0.0	0.0	0.0	0.0	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0	0.9981	3	5	5	5	2	1	0	2	2	1	0	2	2	1	0	2	1191020.4	1119129.6	1979893.1	1574404.8	486462.28	672593.4	732542.4	637790.7	
sp|O00451|GFRA2_HUMAN	O00451	GFRA2_HUMAN	GFRA2	464	Homo sapiens	1:Experimental evidence at protein level	GDNF family receptor alpha-2	0.8939	0.9964	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	691535.56	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens	1:Experimental evidence at protein level	Agrin	1.0	0.9982	3	4	4	4	1	2	0	1	1	2	0	1	1	2	0	1	3176467.5	2659912.2	3291471.2	2633747.5	1253204.1	1108883.8	1235619.5	1034594.94	
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein	1.0	0.999	18	70	70	70	18	17	14	21	18	17	14	21	18	17	14	21	1.9854556E7	1.7264884E7	1.7661118E7	1.8023794E7	7575690.5	8045291.0	8078261.0	6885271.5	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0	0.999	5	17	17	17	5	5	3	4	5	5	3	4	5	5	3	4	7165921.5	5736383.5	8202340.5	8311030.0	3785616.8	2967263.0	3543156.8	4095271.8	
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin superfamily containing leucine-rich repeat protein	1.0	0.9988	2	5	5	5	2	1	0	2	2	1	0	2	2	1	0	2	1002807.4	1041167.5	1247592.0	1349708.8	556025.4	583665.1	701275.1	751534.4	
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	Homo sapiens	1:Experimental evidence at protein level	Neurocan core protein	1.0	0.9989	9	27	27	27	7	8	5	7	7	8	5	7	7	8	5	7	4376914.0	4445035.0	6036667.5	3145224.0	1707188.9	1936958.5	1782793.0	1509852.8	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.9966	2	4	4	4	2	1	0	1	2	1	0	1	2	1	0	1	783816.94	1231144.8	1914324.0	675760.0	430232.75	675247.06	1049677.8	363357.47	
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein L1	1.0	0.9986	2	5	5	5	2	1	0	2	2	1	0	2	2	1	0	2	846900.4	1022385.75	1229982.8	1067971.9	459749.84	552408.56	670332.7	580199.7	
sp|O14983|AT2A1_HUMAN	O14983	AT2A1_HUMAN	ATP2A1	1001	Homo sapiens	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	1.0	0.9959	3	5	0	5	3	0	0	2	0	0	0	0	3	0	0	2	1814756.0	180815.3	744264.3	1777908.6	768143.2	0.0	406522.97	761142.2	sp|P16615|AT2A2_HUMAN
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens	1:Experimental evidence at protein level	Plexin-B2	0.9999	0.9982	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	842317.25	722377.8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	Homo sapiens	1:Experimental evidence at protein level	Neurosecretory protein VGF	1.0	0.999	17	44	44	44	13	13	8	10	13	13	8	10	13	13	8	10	1.9554298E7	9538881.0	1.2534423E7	1.2063222E7	7737819.5	7535273.5	7967830.0	7384312.0	
sp|O15354|GPR37_HUMAN	O15354	GPR37_HUMAN	GPR37	613	Homo sapiens	1:Experimental evidence at protein level	Prosaposin receptor GPR37	0.934	0.9979	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	618642.25	662108.44	1179299.5	400494.78	0.0	0.0	0.0	0.0	
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule 2	1.0	0.999	10	26	26	26	7	5	7	7	7	5	7	7	7	5	7	7	5502445.0	6187436.5	7104086.0	8402716.0	2853893.8	2842867.5	3590458.0	2862324.2	
sp|O43405|COCH_HUMAN	O43405	COCH_HUMAN	COCH	550	Homo sapiens	1:Experimental evidence at protein level	Cochlin	0.9597	0.9987	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	897283.0	882495.1	603974.4	924081.06	0.0	0.0	0.0	0.0	
sp|O43432|IF4G3_HUMAN	O43432	IF4G3_HUMAN	EIF4G3	1585	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4 gamma 3	0.9998	0.9942	1	5	5	5	2	1	1	1	2	1	1	1	2	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43451|MGA_HUMAN	O43451	MGA_HUMAN	MGAM	2753	Homo sapiens	1:Experimental evidence at protein level	Maltase-glucoamylase	0.5942	0.9797	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	Homo sapiens	1:Experimental evidence at protein level	Trans-Golgi network integral membrane protein 2	1.0	0.9988	3	9	9	9	3	3	0	3	3	3	0	3	3	3	0	3	2364799.0	2999791.8	1110845.9	2587764.0	1053024.0	1293217.6	683518.2	1086506.8	
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	Homo sapiens	1:Experimental evidence at protein level	Beta-1,4-glucuronyltransferase 1	1.0	0.999	11	53	53	53	13	14	12	14	13	14	12	14	13	14	12	14	5.1956532E7	5.328476E7	5.6585256E7	4.9365852E7	2.310452E7	2.0882196E7	2.6010124E7	2.2271874E7	
sp|O43827|ANGL7_HUMAN	O43827	ANGL7_HUMAN	ANGPTL7	346	Homo sapiens	1:Experimental evidence at protein level	Angiopoietin-related protein 7	1.0	0.9962	4	4	4	4	1	0	1	2	1	0	1	2	1	0	1	2	1435775.4	826277.4	2078514.9	1906590.5	734892.44	876644.4	884571.5	817863.7	
sp|O60241|AGRB2_HUMAN	O60241	AGRB2_HUMAN	ADGRB2	1585	Homo sapiens	1:Experimental evidence at protein level	Adhesion G protein-coupled receptor B2	0.8805	0.9959	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	328498.88	405277.0	669847.44	310782.12	0.0	0.0	0.0	0.0	
sp|O60279|SUSD5_HUMAN	O60279	SUSD5_HUMAN	SUSD5	629	Homo sapiens	1:Experimental evidence at protein level	Sushi domain-containing protein 5	0.9995	0.9876	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	231189.48	771606.4	508664.84	184457.69	0.0	0.0	0.0	0.0	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0	0.9966	2	8	0	8	2	2	2	2	0	0	0	0	2	2	2	2	2.9870096E7	6090705.0	8974735.0	2.478794E7	2.3601508E7	5057051.5	7703870.5	2.0385738E7	sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
sp|O75071|EFC14_HUMAN	O75071	EFC14_HUMAN	EFCAB14	495	Homo sapiens	1:Experimental evidence at protein level	EF-hand calcium-binding domain-containing protein 14	0.968	0.999	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	595938.7	649410.06	924997.44	952045.25	0.0	0.0	0.0	0.0	
sp|O75144|ICOSL_HUMAN	O75144	ICOSL_HUMAN	ICOSLG	302	Homo sapiens	1:Experimental evidence at protein level	ICOS ligand	1.0	0.9986	3	9	9	9	3	2	1	3	3	2	1	3	3	2	1	3	2291858.5	1688898.6	3341352.5	2413671.5	1041929.4	1203206.9	1552207.4	1136344.0	
sp|O75326|SEM7A_HUMAN	O75326	SEM7A_HUMAN	SEMA7A	666	Homo sapiens	1:Experimental evidence at protein level	Semaphorin-7A	1.0	0.999	14	45	45	45	11	15	7	12	11	15	7	12	11	15	7	12	6515534.0	6749143.0	7372824.5	5419805.0	3192570.0	2864395.2	2295345.2	2428166.5	
sp|O75503|CLN5_HUMAN	O75503	CLN5_HUMAN	CLN5	358	Homo sapiens	1:Experimental evidence at protein level	Bis(monoacylglycero)phosphate synthase CLN5	0.9995	0.975	2	3	3	3	1	1	1	0	1	1	1	0	1	1	1	0	531732.0	1064661.8	1111635.8	759178.3	320653.3	621160.7	674683.7	449071.53	
sp|O75509|TNR21_HUMAN	O75509	TNR21_HUMAN	TNFRSF21	655	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 21	0.6607	0.9847	1	2	2	2	0	1	0	1	0	1	0	1	0	1	0	1	845427.7	931842.8	491457.4	693973.7	0.0	0.0	0.0	0.0	
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	Homo sapiens	1:Experimental evidence at protein level	Attractin	1.0	0.999	2	7	7	7	3	1	1	2	3	1	1	2	3	1	1	2	2426284.0	1497961.9	1648254.4	1528206.9	1323845.9	643367.0	620902.5	972439.25	
sp|O94760|DDAH1_HUMAN	O94760	DDAH1_HUMAN	DDAH1	285	Homo sapiens	1:Experimental evidence at protein level	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	0.8304	0.9939	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	398692.84	329301.3	303514.44	300967.72	0.0	0.0	0.0	0.0	
sp|O94856|NFASC_HUMAN	O94856	NFASC_HUMAN	NFASC	1347	Homo sapiens	1:Experimental evidence at protein level	Neurofascin	1.0	0.9987	11	27	27	27	7	10	4	6	7	10	4	6	7	10	4	6	2978910.0	3288008.5	3317119.2	2771224.5	1136765.9	1346931.9	1309085.4	1214610.1	
sp|O94919|ENDD1_HUMAN	O94919	ENDD1_HUMAN	ENDOD1	500	Homo sapiens	1:Experimental evidence at protein level	Endonuclease domain-containing 1 protein	1.0	0.999	5	12	12	12	4	3	2	3	4	3	2	3	4	3	2	3	4610745.5	3466563.0	3670443.2	3353054.0	2074819.1	1593274.1	1829061.5	1503333.9	
sp|O94985|CSTN1_HUMAN	O94985	CSTN1_HUMAN	CLSTN1	981	Homo sapiens	1:Experimental evidence at protein level	Calsyntenin-1	1.0	0.999	12	43	43	43	13	11	7	12	13	11	7	12	13	11	7	12	2.6682464E7	2.0975332E7	3.3258276E7	1.8734278E7	1.0875267E7	1.2708491E7	1.0307042E7	7036145.0	
sp|O95158|NXPH4_HUMAN	O95158	NXPH4_HUMAN	NXPH4	308	Homo sapiens	1:Experimental evidence at protein level	Neurexophilin-4	1.0	0.9913	2	4	4	4	1	1	0	2	1	1	0	2	1	1	0	2	963124.9	984326.5	220717.7	713215.9	517247.7	528763.25	0.0	385582.94	
sp|O95196|CSPG5_HUMAN	O95196	CSPG5_HUMAN	CSPG5	566	Homo sapiens	1:Experimental evidence at protein level	Chondroitin sulfate proteoglycan 5	0.9433	0.9982	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	1129538.5	1035791.44	994129.0	896139.4	0.0	0.0	0.0	0.0	
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein M	1.0	0.9989	3	6	6	6	1	2	2	1	1	2	2	1	1	2	2	1	1357744.5	2505300.8	3125521.2	1794132.5	744211.2	963219.4	1214888.0	1012899.56	
sp|O95502|NPTXR_HUMAN	O95502	NPTXR_HUMAN	NPTXR	500	Homo sapiens	1:Experimental evidence at protein level	Neuronal pentraxin receptor	1.0	0.999	9	26	26	26	6	6	6	8	6	6	6	8	6	6	6	8	1.5260782E7	9727290.0	1.0859554E7	1.2168362E7	5211977.0	4345894.5	5294313.5	4575884.0	
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1.0	0.9989	5	13	13	13	5	2	2	4	5	2	2	4	5	2	2	4	3286857.0	1629917.9	2214026.0	3062734.2	1345367.9	625055.0	849464.2	1202848.8	
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	0.9999	0.9881	2	7	7	7	2	2	1	2	2	2	1	2	2	2	1	2	3.6822808E7	3.9954168E7	1.4082521E7	3.157375E7	2.386727E7	2.5304892E7	8517572.0	2.058448E7	
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	Homo sapiens	1:Experimental evidence at protein level	Ceruloplasmin	1.0	0.999	37	140	140	140	37	33	27	43	37	33	27	43	37	33	27	43	5.3348212E7	4.7826416E7	6.4450768E7	5.0693328E7	2.1674642E7	2.1525114E7	2.5600662E7	2.4157406E7	
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens	1:Experimental evidence at protein level	Phosphoglycerate kinase 1	1.0	0.9755	3	5	5	5	2	0	0	3	2	0	0	3	2	0	0	3	1283395.8	686267.1	945488.25	1275096.8	496606.0	378383.1	445233.28	461199.03	
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	Homo sapiens	1:Experimental evidence at protein level	Prothrombin	1.0	0.999	6	26	26	26	5	7	8	6	5	7	8	6	5	7	8	6	1.2289682E7	2.0445592E7	2.107607E7	7199215.0	4478248.5	7665037.5	9101570.0	3001827.8	
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	Homo sapiens	1:Experimental evidence at protein level	Complement C1r subcomponent	1.0	0.999	12	34	34	34	10	10	6	8	10	10	6	8	10	10	6	8	3.17383168E8	2.44952336E8	1.08687776E8	2.96255008E8	1.858836E8	2.29800256E8	2.83188064E8	1.6334024E8	
