Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_1_1 Spectral Count	ALS_1_2 Spectral Count	ALS_1_3 Spectral Count	ALS_1_4 Spectral Count	ALS_1_1 Unique Spectral Count	ALS_1_2 Unique Spectral Count	ALS_1_3 Unique Spectral Count	ALS_1_4 Unique Spectral Count	ALS_1_1 Total Spectral Count	ALS_1_2 Total Spectral Count	ALS_1_3 Total Spectral Count	ALS_1_4 Total Spectral Count	ALS_1_1 Intensity	ALS_1_2 Intensity	ALS_1_3 Intensity	ALS_1_4 Intensity	ALS_1_1 MaxLFQ Intensity	ALS_1_2 MaxLFQ Intensity	ALS_1_3 MaxLFQ Intensity	ALS_1_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.9989	4	13	0	13	3	4	4	2	0	0	0	0	3	4	4	2	5.1597992E7	4.8048332E7	4.6787784E7	4.4021052E7	4.7682504E7	4.4667956E7	4.0406372E7	3.1664192E7	sp|P01615|KVD28_HUMAN
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64	0.9704	0.9975	2	1	1	5	1	0	0	0	1	0	0	0	2	1	1	1	675758.4	644721.06	652668.2	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.9955	0.9534	1	3	3	3	1	0	1	1	1	0	1	1	1	0	1	1	1680199.2	1102068.2	1986896.6	1722563.1	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.9989	3	9	0	9	2	2	2	3	0	0	0	0	2	2	2	3	1.6326572E7	1.3150661E7	1.7271966E7	1.3738682E7	7764302.0	7776911.5	8435722.0	7277914.5	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2D-29	0.989	0.9793	3	1	0	9	0	0	0	1	0	0	0	0	2	2	2	3	1255295.8	656451.25	1618809.0	1793626.0	0.0	0.0	0.0	0.0	sp|A2NJV5|KV229_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-27	0.9626	0.999	1	4	0	4	1	1	1	1	0	0	0	0	1	1	1	1	8295447.0	7777274.5	5461816.5	4486938.5	0.0	0.0	0.0	0.0	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A075B6S9|KV137_HUMAN	A0A075B6S9	KV137_HUMAN	IGKV1-37	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulinn kappa variable 1-37	0.2599	0.9309	1	2	0	2	0	0	1	1	0	0	0	0	0	0	1	1	0.0	0.0	0.0	759849.1	0.0	0.0	0.0	0.0	sp|P0DSN7|KVD37_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	0.9995	0.999	2	6	2	6	2	1	2	1	1	0	1	0	2	1	2	1	6576375.0	7505676.5	7377061.0	5140129.5	5431725.0	6077110.0	5405754.0	4192830.8	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	10	0	10	3	2	3	2	0	0	0	0	3	2	3	2	2.6803328E7	2.3653162E7	2.6163594E7	2.3116492E7	2.1058366E7	1.8536986E7	2.1591476E7	1.8154894E7	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	1.0	0.9963	3	8	8	12	2	2	2	2	2	2	2	2	3	3	3	3	2899312.8	2984076.5	2396823.2	2307943.2	2194745.0	2069132.1	1836755.1	1808262.0	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.815	0.9941	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1818008.6	1732858.5	2202295.5	1983225.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	0.9998	0.992	2	8	8	8	2	2	2	2	2	2	2	2	2	2	2	2	3331539.0	4417676.0	4953863.5	3830781.5	2911608.8	3696640.2	3946150.5	3910737.0	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	1.0	0.9984	5	8	7	12	1	2	2	3	1	2	2	2	2	3	3	4	3.6745924E7	3.6884696E7	1.5806196E7	1.5342176E7	2.216385E7	1.7474626E7	1.4999063E7	1.0751695E7	
sp|A0A0B4J1V2|HV226_HUMAN	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-26	1.0	0.9752	2	4	4	4	2	1	1	0	2	1	1	0	2	1	1	0	736651.2	1014537.6	942242.4	0.0	528005.4	790669.06	685441.0	0.0	
sp|A0A0B4J2H0|HV69D_HUMAN	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-69D	1.0	0.9976	2	2	1	2	1	1	0	0	0	1	0	0	1	1	0	0	567993.56	0.0	197286.72	221012.14	0.0	0.0	0.0	0.0	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9977	0.9956	3	4	4	9	1	1	1	1	1	1	1	1	2	3	2	2	3190368.0	2636808.0	3287478.2	2889229.2	0.0	0.0	0.0	0.0	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-18	0.9629	0.999	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1748114.9	1746094.4	2144376.0	1253104.5	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-28	1.0	0.9959	1	6	6	6	2	2	1	1	2	2	1	1	2	2	1	1	3914281.8	1978958.5	3933797.5	4262050.0	2511537.8	1259451.1	2397295.2	2580927.5	
sp|A0A0C4DH35|HV335_HUMAN	A0A0C4DH35	HV335_HUMAN	IGHV3-35	117	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-35	0.6817	0.988	1	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	615988.2	299598.25	639696.94	444641.8	0.0	0.0	0.0	0.0	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.9558	0.9963	2	4	4	8	1	1	1	1	1	1	1	1	2	2	2	2	1127967.6	1466156.6	1412505.0	1081940.2	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-51	1.0	0.9989	4	13	11	13	4	3	3	3	3	3	3	2	4	3	3	3	1.2807782E7	1.3323596E7	1.3668471E7	1.0081339E7	5138496.5	5766671.5	5685646.5	4374220.0	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	1.0	0.9951	2	9	0	9	2	2	3	2	0	0	0	0	2	2	3	2	1.8409708E7	1.787668E7	2.211454E7	2.0086864E7	1.5418486E7	1.5644494E7	1.8128026E7	1.4966882E7	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0C4DH43|HV70D_HUMAN	A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-70D	0.3656	0.9567	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	2267440.2	2066382.6	2487039.8	2322485.2	0.0	0.0	0.0	0.0	
sp|A0A0C4DH73|KV112_HUMAN	A0A0C4DH73	KV112_HUMAN	IGKV1-12	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1-12	0.9978	0.9959	2	2	0	6	0	0	1	1	0	0	0	0	1	1	2	2	1430224.1	1723184.0	1252240.6	606706.7	0.0	0.0	0.0	0.0	sp|P01611|KVD12_HUMAN
sp|A0A0J9YXX1|HV5X1_HUMAN	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-10-1	1.0	0.9749	3	8	8	10	2	2	2	2	2	2	2	2	3	2	2	3	8512863.0	4122875.8	8157613.0	7300743.0	5123051.5	2804707.5	5280912.0	4734445.0	
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	320	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1-like 3	1.0	0.9965	2	4	0	4	1	1	0	2	0	0	0	0	1	1	0	2	1240437.0	1432529.5	950887.5	2790413.2	881475.8	1040142.0	671768.75	1472694.5	sp|P09651|ROA1_HUMAN
sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	295	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2B	0.3079	0.9447	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	94686.29	225555.88	0.0	426210.1	0.0	0.0	0.0	0.0	sp|P08865|RSSA_HUMAN
sp|A0M8Q6|IGLC7_HUMAN	A0M8Q6	IGLC7_HUMAN	IGLC7	106	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda constant 7	0.9978	0.9875	4	1	1	13	0	0	0	1	0	0	0	1	3	3	3	4	1122659.9	445622.6	1440311.8	1458249.5	0.0	0.0	0.0	0.0	
sp|A6NMY6|AXA2L_HUMAN	A6NMY6	AXA2L_HUMAN	ANXA2P2	339	Homo sapiens	5:Protein uncertain	Putative annexin A2-like protein	1.0	0.9961	2	3	0	3	0	0	1	2	0	0	0	0	0	0	1	2	530782.4	667998.44	449799.1	1342199.1	340520.06	469326.0	0.0	1138851.6	sp|P07355|ANXA2_HUMAN
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	5	20	4	20	5	5	5	5	1	1	1	1	5	5	5	5	4.2088556E7	4.34731456E8	3.5587808E8	2.92004256E8	1.95868448E8	1.34725216E8	1.4147496E8	1.87791328E8	
sp|E7ETH6|Z587B_HUMAN	E7ETH6	Z587B_HUMAN	ZNF587B	402	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 587B	0.2999	0.9427	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	9077792.0	7469488.5	1.1327952E7	1574704.4	0.0	0.0	0.0	0.0	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	0.512	0.9758	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	517549.78	0.0	0.0	0.0	0.0	0.0	
sp|O00533|NCHL1_HUMAN	O00533	NCHL1_HUMAN	CHL1	1208	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1-like protein	1.0	0.999	14	40	40	40	10	11	10	9	10	11	10	9	10	11	10	9	3599245.8	5344158.0	3593490.5	3103977.8	1489261.0	1772759.2	1507278.0	1500601.0	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0	0.9943	2	4	4	4	2	1	1	0	2	1	1	0	2	1	1	0	1673396.5	1903306.0	1376638.1	1474380.1	915061.6	1004514.25	752322.5	805361.75	
sp|O14498|ISLR_HUMAN	O14498	ISLR_HUMAN	ISLR	428	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin superfamily containing leucine-rich repeat protein	0.4065	0.9633	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	162663.2	359146.28	232848.62	200330.33	0.0	0.0	0.0	0.0	
sp|O14594|NCAN_HUMAN	O14594	NCAN_HUMAN	NCAN	1321	Homo sapiens	1:Experimental evidence at protein level	Neurocan core protein	1.0	0.9945	2	2	2	2	2	0	0	0	2	0	0	0	2	0	0	0	798630.6	477332.28	518228.8	632464.1	422837.75	0.0	274502.4	336331.75	
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein L1	1.0	0.9986	3	9	9	9	2	2	2	3	2	2	2	3	2	2	2	3	1611618.9	1186000.5	2000307.5	2027492.1	765368.7	698656.56	1020351.2	1088919.9	
sp|O14983|AT2A1_HUMAN	O14983	AT2A1_HUMAN	ATP2A1	1001	Homo sapiens	1:Experimental evidence at protein level	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	1.0	0.9922	4	4	1	4	0	0	0	4	0	0	0	1	0	0	0	4	384701.6	786833.5	376595.75	1717811.5	241618.44	314282.22	203459.75	675283.06	
sp|O15240|VGF_HUMAN	O15240	VGF_HUMAN	VGF	615	Homo sapiens	1:Experimental evidence at protein level	Neurosecretory protein VGF	1.0	0.999	9	9	9	9	1	2	2	4	1	2	2	4	1	2	2	4	1041618.75	1555156.4	981974.75	1521449.8	831083.06	1264906.1	851341.25	777765.06	
sp|O15394|NCAM2_HUMAN	O15394	NCAM2_HUMAN	NCAM2	837	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule 2	1.0	0.9989	5	9	9	9	1	2	3	3	1	2	3	3	1	2	3	3	1779448.5	2912910.8	1799776.0	1734837.5	740855.4	1222611.9	756493.4	676650.6	
sp|O43405|COCH_HUMAN	O43405	COCH_HUMAN	COCH	550	Homo sapiens	1:Experimental evidence at protein level	Cochlin	0.7983	0.9935	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	337969.16	386126.3	357617.03	281066.1	0.0	0.0	0.0	0.0	
sp|O43432|IF4G3_HUMAN	O43432	IF4G3_HUMAN	EIF4G3	1585	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4 gamma 3	0.993	0.962	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43451|MGA_HUMAN	O43451	MGA_HUMAN	MGAM	2753	Homo sapiens	1:Experimental evidence at protein level	Maltase-glucoamylase	0.9899	0.9334	1	2	2	2	1	0	1	0	1	0	1	0	1	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	Homo sapiens	1:Experimental evidence at protein level	Trans-Golgi network integral membrane protein 2	0.8071	0.9938	1	3	3	3	1	0	1	1	1	0	1	1	1	0	1	1	395960.28	257555.5	401864.62	448690.5	0.0	0.0	0.0	0.0	
sp|O43505|B4GA1_HUMAN	O43505	B4GA1_HUMAN	B4GAT1	415	Homo sapiens	1:Experimental evidence at protein level	Beta-1,4-glucuronyltransferase 1	1.0	0.999	10	42	42	42	9	11	12	10	9	11	12	10	9	11	12	10	1.5581269E7	2.1894182E7	1.5292664E7	1.2931018E7	7671620.0	1.0033964E7	6653002.0	6312942.0	
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens	1:Experimental evidence at protein level	Alpha-actinin-4	0.4848	0.9731	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	214681.81	0.0	0.0	0.0	0.0	sp|P12814|ACTN1_HUMAN, sp|Q08043|ACTN3_HUMAN
sp|O43866|CD5L_HUMAN	O43866	CD5L_HUMAN	CD5L	347	Homo sapiens	1:Experimental evidence at protein level	CD5 antigen-like	0.3316	0.9501	1	3	3	3	1	0	1	1	1	0	1	1	1	0	1	1	277877.94	306826.28	175676.47	262203.66	0.0	0.0	0.0	0.0	
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens	1:Experimental evidence at protein level	Histone H2B type 1-K	1.0	0.996	3	9	0	9	2	2	2	3	0	0	0	0	2	2	2	3	5088809.5	5174617.0	5222083.0	1.7586132E7	3769961.2	4159261.0	4469706.0	1.4260764E7	sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN
sp|O75144|ICOSL_HUMAN	O75144	ICOSL_HUMAN	ICOSLG	302	Homo sapiens	1:Experimental evidence at protein level	ICOS ligand	0.8598	0.9958	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	476339.66	706310.2	442381.97	389401.94	0.0	0.0	0.0	0.0	
sp|O75326|SEM7A_HUMAN	O75326	SEM7A_HUMAN	SEMA7A	666	Homo sapiens	1:Experimental evidence at protein level	Semaphorin-7A	1.0	0.9976	6	9	9	9	2	2	1	4	2	2	1	4	2	2	1	4	1516373.9	2512149.5	815947.4	1219327.5	662532.94	847989.25	667903.25	580667.5	
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	Homo sapiens	1:Experimental evidence at protein level	Attractin	0.5885	0.9821	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	587444.9	742572.1	576014.2	452767.94	0.0	0.0	0.0	0.0	
sp|O94856|NFASC_HUMAN	O94856	NFASC_HUMAN	NFASC	1347	Homo sapiens	1:Experimental evidence at protein level	Neurofascin	0.9998	0.9889	2	4	4	4	1	1	0	2	1	1	0	2	1	1	0	2	673254.5	931548.9	485751.34	442226.94	388479.03	532398.94	264366.75	254737.55	
sp|O94919|ENDD1_HUMAN	O94919	ENDD1_HUMAN	ENDOD1	500	Homo sapiens	1:Experimental evidence at protein level	Endonuclease domain-containing 1 protein	0.8841	0.9966	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	353007.3	0.0	147945.86	415804.47	0.0	0.0	0.0	0.0	
sp|O94985|CSTN1_HUMAN	O94985	CSTN1_HUMAN	CLSTN1	981	Homo sapiens	1:Experimental evidence at protein level	Calsyntenin-1	1.0	0.999	7	26	26	26	7	5	7	7	7	5	7	7	7	5	7	7	7296313.5	7288139.0	4732364.0	5448998.0	2526436.8	2215008.0	2120626.0	2720103.8	
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein M	1.0	0.9979	3	9	9	9	2	3	2	2	2	3	2	2	2	3	2	2	1287689.5	3833772.8	2998177.8	1928674.2	861793.0	1475831.8	1145739.4	829091.25	
sp|O95502|NPTXR_HUMAN	O95502	NPTXR_HUMAN	NPTXR	500	Homo sapiens	1:Experimental evidence at protein level	Neuronal pentraxin receptor	1.0	0.9988	7	14	14	14	3	6	3	2	3	6	3	2	3	6	3	2	1339826.8	2499068.5	2231499.0	1960422.2	803075.25	1106871.2	931300.7	822557.06	
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1.0	0.98	3	6	6	6	0	1	2	3	0	1	2	3	0	1	2	3	656674.75	1059990.2	628111.0	1842832.8	284119.5	459955.47	276389.38	806799.44	
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	0.9999	0.984	2	6	6	6	2	1	2	1	2	1	2	1	2	1	2	1	8669201.0	5846779.5	9507594.0	1.1600192E7	5125826.5	3291293.8	5635334.5	6940557.5	
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	Homo sapiens	1:Experimental evidence at protein level	Ceruloplasmin	1.0	0.999	42	162	162	162	39	40	44	39	39	40	44	39	39	40	44	39	6.7755792E7	5.9406972E7	6.8345856E7	6.3469744E7	2.700569E7	2.5580658E7	2.6065402E7	2.1660234E7	
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	Homo sapiens	1:Experimental evidence at protein level	Prothrombin	1.0	0.999	6	21	21	21	6	3	5	7	6	3	5	7	6	3	5	7	1.0957606E7	2418918.8	4900689.5	1.8948208E7	4662319.5	987150.6	1882431.0	7038433.5	
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	Homo sapiens	1:Experimental evidence at protein level	Complement C1r subcomponent	1.0	0.999	10	32	31	32	9	7	9	7	8	7	9	7	9	7	9	7	2.65687536E8	1.55943568E8	2.90533664E8	2.9390432E8	2.65209232E8	2.15869936E8	2.26727504E8	2.48170848E8	
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	Homo sapiens	1:Experimental evidence at protein level	Haptoglobin	1.0	0.999	18	71	30	71	18	16	20	17	8	7	8	7	18	16	20	17	8.1121872E7	5.7878632E7	8.5579936E7	1.09790728E8	3.3214886E7	2.5771544E7	4.1812984E7	4.9841504E7	
sp|P00746|CFAD_HUMAN	P00746	CFAD_HUMAN	CFD	253	Homo sapiens	1:Experimental evidence at protein level	Complement factor D	1.0	0.9986	3	8	8	8	2	2	3	1	2	2	3	1	2	2	3	1	3522815.0	3382695.2	3378484.2	2553241.8	1633216.6	1597294.1	1563924.0	1196650.5	
