Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P01024|CO3_HUMAN	P01024	CO3_HUMAN	C3	1663	false	false	Homo sapiens	Complement C3	1:Experimental evidence at protein level	57.19	1.0000	0.9990	0.00000000000000	79	79	79	90	90	90	1.29363856E8	1.29363856E8	1.29363856E8			
sp|P01031|CO5_HUMAN	P01031	CO5_HUMAN	C5	1676	false	false	Homo sapiens	Complement C5	1:Experimental evidence at protein level	8.05	1.0000	0.9987	0.00000000000000	11	11	11	11	11	11	2105012.2	2105012.2	2105012.2			
sp|P01033|TIMP1_HUMAN	P01033	TIMP1_HUMAN	TIMP1	207	false	false	Homo sapiens	Metalloproteinase inhibitor 1	1:Experimental evidence at protein level	10.14	1.0000	0.9974	0.00000000000000	2	2	2	2	2	2	5186209.5	5186209.5	5186209.5			
sp|P01034|CYTC_HUMAN	P01034	CYTC_HUMAN	CST3	146	false	false	Homo sapiens	Cystatin-C	1:Experimental evidence at protein level	36.99	1.0000	0.9990	0.00000000000000	6	6	6	8	8	8	4.9912656E8	4.9912656E8	4.9912656E8			
sp|P01042|KNG1_HUMAN	P01042	KNG1_HUMAN	KNG1	644	false	false	Homo sapiens	Kininogen-1	1:Experimental evidence at protein level	9.94	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	2.7447772E7	2.7447772E7	2.7447772E7			
sp|P01210|PENK_HUMAN	P01210	PENK_HUMAN	PENK	267	false	false	Homo sapiens	Proenkephalin-A	1:Experimental evidence at protein level	19.10	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	8221987.0	8221987.0	8221987.0			
sp|P01619|KV320_HUMAN	P01619	KV320_HUMAN	IGKV3-20	116	false	false	Homo sapiens	Immunoglobulin kappa variable 3-20	1:Experimental evidence at protein level	40.52	1.0000	0.9990	0.00000000000000	3	2	3	3	2	3	4.7921072E7	1.4226338E7	4.7921072E7			
sp|P01700|LV147_HUMAN	P01700	LV147_HUMAN	IGLV1-47	117	false	false	Homo sapiens	Immunoglobulin lambda variable 1-47	1:Experimental evidence at protein level	11.11	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	6266945.5	6266945.5	6266945.5			
sp|P01768|HV330_HUMAN	P01768	HV330_HUMAN	IGHV3-30	117	false	false	Homo sapiens	Immunoglobulin heavy variable 3-30	1:Experimental evidence at protein level	21.37	1.0000	0.9989	0.00000000000000	3	0	2	3	0	2	1.9144474E7	0	1.7170032E7			sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P0DP03|HVC05_HUMAN
sp|P01780|HV307_HUMAN	P01780	HV307_HUMAN	IGHV3-7	117	false	false	Homo sapiens	Immunoglobulin heavy variable 3-7	1:Experimental evidence at protein level	21.37	1.0000	0.9905	0.00000000000000	3	1	2	3	1	2	7825259.0	2125968.2	5850817.0			
sp|P01834|IGKC_HUMAN	P01834	IGKC_HUMAN	IGKC	107	false	false	Homo sapiens	Immunoglobulin kappa constant	1:Experimental evidence at protein level	53.27	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	5.15525184E8	5.15525184E8	5.15525184E8			
sp|P01857|IGHG1_HUMAN	P01857	IGHG1_HUMAN	IGHG1	399	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 1	1:Experimental evidence at protein level	31.58	1.0000	0.9990	0.00000000000000	8	4	8	10	5	10	5.22401408E8	4.28543744E8	5.22401408E8			
sp|P01859|IGHG2_HUMAN	P01859	IGHG2_HUMAN	IGHG2	395	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 2	1:Experimental evidence at protein level	14.43	1.0000	0.9990	0.00000000000000	5	3	4	6	4	5	4.5609472E8	4.5609472E8	4.5609472E8			
sp|P01860|IGHG3_HUMAN	P01860	IGHG3_HUMAN	IGHG3	446	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 3	1:Experimental evidence at protein level	11.66	1.0000	0.9989	0.00000000000000	5	1	1	6	2	2	1.68093824E8	9758519.0	9758519.0			
sp|P01861|IGHG4_HUMAN	P01861	IGHG4_HUMAN	IGHG4	396	false	false	Homo sapiens	Immunoglobulin heavy constant gamma 4	1:Experimental evidence at protein level	17.93	1.0000	0.9989	0.00000000000000	4	2	2	5	2	2	3.12765184E8	2.2078366E7	2.2078366E7			
sp|P01876|IGHA1_HUMAN	P01876	IGHA1_HUMAN	IGHA1	398	false	false	Homo sapiens	Immunoglobulin heavy constant alpha 1	1:Experimental evidence at protein level	18.59	1.0000	0.9990	0.00000000000000	7	3	7	7	3	7	2.30416272E8	1.64502176E8	2.30416272E8			
sp|P02452|CO1A1_HUMAN	P02452	CO1A1_HUMAN	COL1A1	1464	false	false	Homo sapiens	Collagen alpha-1(I) chain	1:Experimental evidence at protein level	2.12	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	1691242.0	1691242.0	1691242.0			
sp|P02647|APOA1_HUMAN	P02647	APOA1_HUMAN	APOA1	267	false	false	Homo sapiens	Apolipoprotein A-I	1:Experimental evidence at protein level	65.54	1.0000	0.9990	0.00000000000000	20	20	20	24	24	24	4.94925024E8	4.94925024E8	4.94925024E8			
sp|P02649|APOE_HUMAN	P02649	APOE_HUMAN	APOE	317	false	false	Homo sapiens	Apolipoprotein E	1:Experimental evidence at protein level	68.77	1.0000	0.9990	0.00000000000000	23	23	23	27	27	27	4.45720384E8	4.45720384E8	4.45720384E8			
sp|P02652|APOA2_HUMAN	P02652	APOA2_HUMAN	APOA2	100	false	false	Homo sapiens	Apolipoprotein A-II	1:Experimental evidence at protein level	44.00	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	7.544064E7	7.544064E7	7.544064E7			
sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	APOC1	83	false	false	Homo sapiens	Apolipoprotein C-I	1:Experimental evidence at protein level	26.51	1.0000	0.9975	0.00000000000000	4	4	4	5	5	5	1.365417E7	1.365417E7	1.365417E7			
sp|P02656|APOC3_HUMAN	P02656	APOC3_HUMAN	APOC3	99	false	false	Homo sapiens	Apolipoprotein C-III	1:Experimental evidence at protein level	34.34	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1.2162416E7	1.2162416E7	1.2162416E7			
sp|P02671|FIBA_HUMAN	P02671	FIBA_HUMAN	FGA	866	false	false	Homo sapiens	Fibrinogen alpha chain	1:Experimental evidence at protein level	15.13	1.0000	0.9989	0.00000000000000	10	10	10	10	10	10	6866262.0	6866262.0	6866262.0			
sp|P02675|FIBB_HUMAN	P02675	FIBB_HUMAN	FGB	491	false	false	Homo sapiens	Fibrinogen beta chain	1:Experimental evidence at protein level	30.96	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	1.5144597E7	1.5144597E7	1.5144597E7			
sp|P02679|FIBG_HUMAN	P02679	FIBG_HUMAN	FGG	453	false	false	Homo sapiens	Fibrinogen gamma chain	1:Experimental evidence at protein level	29.36	1.0000	0.9990	0.00000000000000	9	9	9	10	10	10	1.430732E7	1.430732E7	1.430732E7			
sp|P02746|C1QB_HUMAN	P02746	C1QB_HUMAN	C1QB	253	false	false	Homo sapiens	Complement C1q subcomponent subunit B	1:Experimental evidence at protein level	8.30	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	7728084.0	7728084.0	7728084.0			
sp|P02747|C1QC_HUMAN	P02747	C1QC_HUMAN	C1QC	245	false	false	Homo sapiens	Complement C1q subcomponent subunit C	1:Experimental evidence at protein level	8.57	1.0000	0.9980	0.00000000000000	2	2	2	2	2	2	7459638.0	7459638.0	7459638.0			
sp|P02748|CO9_HUMAN	P02748	CO9_HUMAN	C9	559	false	false	Homo sapiens	Complement component C9	1:Experimental evidence at protein level	20.04	1.0000	0.9990	0.00000000000000	9	8	9	10	9	10	8529470.0	8529470.0	8529470.0			
sp|P02749|APOH_HUMAN	P02749	APOH_HUMAN	APOH	345	false	false	Homo sapiens	Beta-2-glycoprotein 1	1:Experimental evidence at protein level	12.17	1.0000	0.9987	0.00000000000000	5	5	5	5	5	5	1.879356E7	1.879356E7	1.879356E7			
sp|P02750|A2GL_HUMAN	P02750	A2GL_HUMAN	LRG1	347	false	false	Homo sapiens	Leucine-rich alpha-2-glycoprotein	1:Experimental evidence at protein level	31.99	1.0000	0.9987	0.00000000000000	7	7	7	8	8	8	1.0986031E7	1.0986031E7	1.0986031E7			
sp|P02751|FINC_HUMAN	P02751	FINC_HUMAN	FN1	2477	false	false	Homo sapiens	Fibronectin	1:Experimental evidence at protein level	29.75	1.0000	0.9990	0.00000000000000	46	46	46	47	47	47	2.9848476E7	2.9848476E7	2.9848476E7			
sp|P02753|RET4_HUMAN	P02753	RET4_HUMAN	RBP4	201	false	false	Homo sapiens	Retinol-binding protein 4	1:Experimental evidence at protein level	24.38	1.0000	0.9988	0.00000000000000	3	3	3	3	3	3	1.5299804E7	1.5299804E7	1.5299804E7			
sp|P02760|AMBP_HUMAN	P02760	AMBP_HUMAN	AMBP	352	false	false	Homo sapiens	Protein AMBP	1:Experimental evidence at protein level	17.61	1.0000	0.9968	0.00000000000000	4	4	4	4	4	4	9969418.0	9969418.0	9969418.0			
sp|P02763|A1AG1_HUMAN	P02763	A1AG1_HUMAN	ORM1	201	false	false	Homo sapiens	Alpha-1-acid glycoprotein 1	1:Experimental evidence at protein level	34.33	1.0000	0.9990	0.00000000000000	7	5	5	10	8	8	3.64651712E8	3.64651712E8	3.64651712E8			
sp|P02765|FETUA_HUMAN	P02765	FETUA_HUMAN	AHSG	367	false	false	Homo sapiens	Alpha-2-HS-glycoprotein	1:Experimental evidence at protein level	10.08	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	8.6455264E7	8.6455264E7	8.6455264E7			
sp|P02766|TTHY_HUMAN	P02766	TTHY_HUMAN	TTR	147	false	false	Homo sapiens	Transthyretin	1:Experimental evidence at protein level	68.71	1.0000	0.9990	0.00000000000000	8	8	8	13	13	13	1.96689328E8	1.96689328E8	1.96689328E8			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	50.08	1.0000	0.9990	0.00000000000000	34	30	34	42	37	42	1.42486886E10	9.0867067E9	1.42486886E10			
sp|P02774|VTDB_HUMAN	P02774	VTDB_HUMAN	GC	474	false	false	Homo sapiens	Vitamin D-binding protein	1:Experimental evidence at protein level	24.47	1.0000	0.9990	0.00000000000000	14	14	14	16	16	16	5.821608E7	5.821608E7	5.821608E7			
sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	false	false	Homo sapiens	Serotransferrin	1:Experimental evidence at protein level	33.52	1.0000	0.9990	0.00000000000000	23	23	23	31	31	31	1.06289318E9	1.06289318E9	1.06289318E9			
sp|P02790|HEMO_HUMAN	P02790	HEMO_HUMAN	HPX	462	false	false	Homo sapiens	Hemopexin	1:Experimental evidence at protein level	34.20	1.0000	0.9990	0.00000000000000	15	14	15	16	15	16	1.82872E8	1.82872E8	1.82872E8			
sp|P04004|VTNC_HUMAN	P04004	VTNC_HUMAN	VTN	478	false	false	Homo sapiens	Vitronectin	1:Experimental evidence at protein level	9.21	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	1.1324785E7	1.1324785E7	1.1324785E7			
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	false	false	Homo sapiens	Fructose-bisphosphate aldolase A	1:Experimental evidence at protein level	19.51	1.0000	0.9988	0.00000000000000	6	1	6	6	1	6	2795486.8	493480.66	2795486.8			
sp|P04156|PRIO_HUMAN	P04156	PRIO_HUMAN	PRNP	253	false	false	Homo sapiens	Major prion protein	1:Experimental evidence at protein level	20.55	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	1.5030354E7	1.5030354E7	1.5030354E7			
sp|P04180|LCAT_HUMAN	P04180	LCAT_HUMAN	LCAT	440	false	false	Homo sapiens	Phosphatidylcholine-sterol acyltransferase	1:Experimental evidence at protein level	12.05	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	5244458.0	5244458.0	5244458.0			
sp|P04196|HRG_HUMAN	P04196	HRG_HUMAN	HRG	525	false	false	Homo sapiens	Histidine-rich glycoprotein	1:Experimental evidence at protein level	19.05	1.0000	0.9990	0.00000000000000	10	10	10	11	11	11	3.70819E7	3.70819E7	3.70819E7			
sp|P04216|THY1_HUMAN	P04216	THY1_HUMAN	THY1	161	false	false	Homo sapiens	Thy-1 membrane glycoprotein	1:Experimental evidence at protein level	16.15	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	2.2718974E7	2.2718974E7	2.2718974E7			
sp|P04217|A1BG_HUMAN	P04217	A1BG_HUMAN	A1BG	495	false	false	Homo sapiens	Alpha-1B-glycoprotein	1:Experimental evidence at protein level	40.81	1.0000	0.9990	0.00000000000000	11	11	11	14	14	14	5.3359296E7	5.3359296E7	5.3359296E7			
sp|P05060|SCG1_HUMAN	P05060	SCG1_HUMAN	CHGB	677	false	false	Homo sapiens	Secretogranin-1	1:Experimental evidence at protein level	39.73	1.0000	0.9990	0.00000000000000	26	26	26	29	29	29	7.0034432E7	7.0034432E7	7.0034432E7			
sp|P05067|A4_HUMAN	P05067	A4_HUMAN	APP	770	false	false	Homo sapiens	Amyloid-beta precursor protein	1:Experimental evidence at protein level	16.75	1.0000	0.9990	0.00000000000000	11	10	11	11	10	11	1.1600304E7	1.1600304E7	1.1600304E7			
sp|P05090|APOD_HUMAN	P05090	APOD_HUMAN	APOD	189	false	false	Homo sapiens	Apolipoprotein D	1:Experimental evidence at protein level	21.16	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	2.13636448E8	2.13636448E8	2.13636448E8			
sp|P05155|IC1_HUMAN	P05155	IC1_HUMAN	SERPING1	500	false	false	Homo sapiens	Plasma protease C1 inhibitor	1:Experimental evidence at protein level	24.80	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	3.5386136E7	3.5386136E7	3.5386136E7			
sp|P05156|CFAI_HUMAN	P05156	CFAI_HUMAN	CFI	583	false	false	Homo sapiens	Complement factor I	1:Experimental evidence at protein level	14.24	1.0000	0.9982	0.00000000000000	6	6	6	6	6	6	8595586.0	8595586.0	8595586.0			
sp|P05408|7B2_HUMAN	P05408	7B2_HUMAN	SCG5	212	false	false	Homo sapiens	Neuroendocrine protein 7B2	1:Experimental evidence at protein level	19.34	1.0000	0.9944	0.00000000000000	4	4	4	4	4	4	1.5166445E7	1.5166445E7	1.5166445E7			
sp|P05452|TETN_HUMAN	P05452	TETN_HUMAN	CLEC3B	202	false	false	Homo sapiens	Tetranectin	1:Experimental evidence at protein level	6.93	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	1.58775E7	1.58775E7	1.58775E7			
sp|P05543|THBG_HUMAN	P05543	THBG_HUMAN	SERPINA7	415	false	false	Homo sapiens	Thyroxine-binding globulin	1:Experimental evidence at protein level	12.77	1.0000	0.9962	0.00000000000000	5	5	5	5	5	5	2021146.8	2021146.8	2021146.8			
sp|P05546|HEP2_HUMAN	P05546	HEP2_HUMAN	SERPIND1	499	false	false	Homo sapiens	Heparin cofactor 2	1:Experimental evidence at protein level	24.45	1.0000	0.9990	0.00000000000000	10	10	10	11	11	11	1.1230965E7	1.1230965E7	1.1230965E7			
sp|P05787|K2C8_HUMAN	P05787	K2C8_HUMAN	KRT8	483	false	false	Homo sapiens	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	3.93	1.0000	0.9986	0.00000000000000	2	1	2	2	1	2	1102357.5	598088.4	1102357.5			
sp|P06312|KV401_HUMAN	P06312	KV401_HUMAN	IGKV4-1	121	false	false	Homo sapiens	Immunoglobulin kappa variable 4-1	1:Experimental evidence at protein level	12.40	1.0000	0.9970	0.00000000000000	2	2	2	2	2	2	5580662.5	5580662.5	5580662.5			
sp|P06396|GELS_HUMAN	P06396	GELS_HUMAN	GSN	782	false	false	Homo sapiens	Gelsolin	1:Experimental evidence at protein level	49.10	1.0000	0.9990	0.00000000000000	25	25	25	27	27	27	8.2485184E7	8.2485184E7	8.2485184E7			
sp|P06681|CO2_HUMAN	P06681	CO2_HUMAN	C2	752	false	false	Homo sapiens	Complement C2	1:Experimental evidence at protein level	7.45	1.0000	0.9986	0.00000000000000	6	6	6	6	6	6	3782237.5	3782237.5	3782237.5			
sp|P06727|APOA4_HUMAN	P06727	APOA4_HUMAN	APOA4	396	false	false	Homo sapiens	Apolipoprotein A-IV	1:Experimental evidence at protein level	61.36	1.0000	0.9990	0.00000000000000	23	23	23	26	26	26	2.1461688E7	2.1461688E7	2.1461688E7			
sp|P06733|ENOA_HUMAN	P06733	ENOA_HUMAN	ENO1	434	false	false	Homo sapiens	Alpha-enolase	1:Experimental evidence at protein level	10.14	1.0000	0.9942	0.00000000000000	4	4	4	4	4	4	2672534.0	2672534.0	2672534.0			
sp|P07108|ACBP_HUMAN	P07108	ACBP_HUMAN	DBI	87	false	false	Homo sapiens	Acyl-CoA-binding protein	1:Experimental evidence at protein level	32.18	1.0000	0.9889	0.00000000000000	2	2	2	2	2	2	1854249.0	1854249.0	1854249.0			
sp|P07195|LDHB_HUMAN	P07195	LDHB_HUMAN	LDHB	334	false	false	Homo sapiens	L-lactate dehydrogenase B chain	1:Experimental evidence at protein level	20.66	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	3613332.5	3613332.5	3613332.5			
sp|P07225|PROS_HUMAN	P07225	PROS_HUMAN	PROS1	676	false	false	Homo sapiens	Vitamin K-dependent protein S	1:Experimental evidence at protein level	13.17	1.0000	0.9990	0.00000000000000	7	7	7	8	8	8	7775988.0	7775988.0	7775988.0			
