Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_10_10 Spectral Count	control_1_1 Spectral Count	control_2_2 Spectral Count	control_3_3 Spectral Count	control_4_4 Spectral Count	control_5_5 Spectral Count	control_6_6 Spectral Count	control_7_7 Spectral Count	control_8_8 Spectral Count	control_9_9 Spectral Count	control_10_10 Unique Spectral Count	control_1_1 Unique Spectral Count	control_2_2 Unique Spectral Count	control_3_3 Unique Spectral Count	control_4_4 Unique Spectral Count	control_5_5 Unique Spectral Count	control_6_6 Unique Spectral Count	control_7_7 Unique Spectral Count	control_8_8 Unique Spectral Count	control_9_9 Unique Spectral Count	control_10_10 Total Spectral Count	control_1_1 Total Spectral Count	control_2_2 Total Spectral Count	control_3_3 Total Spectral Count	control_4_4 Total Spectral Count	control_5_5 Total Spectral Count	control_6_6 Total Spectral Count	control_7_7 Total Spectral Count	control_8_8 Total Spectral Count	control_9_9 Total Spectral Count	control_10_10 Intensity	control_1_1 Intensity	control_2_2 Intensity	control_3_3 Intensity	control_4_4 Intensity	control_5_5 Intensity	control_6_6 Intensity	control_7_7 Intensity	control_8_8 Intensity	control_9_9 Intensity	control_10_10 MaxLFQ Intensity	control_1_1 MaxLFQ Intensity	control_2_2 MaxLFQ Intensity	control_3_3 MaxLFQ Intensity	control_4_4 MaxLFQ Intensity	control_5_5 MaxLFQ Intensity	control_6_6 MaxLFQ Intensity	control_7_7 MaxLFQ Intensity	control_8_8 MaxLFQ Intensity	control_9_9 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-4	0.997	0.9741	2	8	8	8	2	0	1	1	0	1	1	1	0	1	2	0	1	1	0	1	1	1	0	1	2	0	1	1	0	1	1	1	0	1	3448389.5	857103.3	960053.8	764046.3	943318.8	1146004.6	2209698.5	3813610.5	2729953.5	3256086.2	2448719.0	709560.5	0.0	623455.3	628381.75	618710.06	1635651.2	2984788.5	2218775.0	2450225.5	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	3	25	0	25	3	2	1	2	3	3	3	2	3	3	0	0	0	0	0	0	0	0	0	0	3	2	1	2	3	3	3	2	3	3	3.3431642E7	1.3995553E7	9152278.0	3710643.2	1.8293472E7	2.7458772E7	1.9033982E7	1.0078096E7	1.4535381E7	1.4187501E7	1.6021392E7	6426098.5	4349782.0	2011743.1	8428600.0	1.4386413E7	8911121.0	4684841.0	6885044.0	6840711.5	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-15	1.0	0.999	2	20	8	20	3	2	2	2	2	2	1	2	2	2	1	1	1	1	0	1	0	1	1	1	3	2	2	2	2	2	1	2	2	2	1.1808627E7	5832091.0	2861190.5	1629213.4	1.0891327E7	1697578.5	4989026.0	4616080.0	5844851.0	6255237.5	8206462.0	4332345.0	2073240.5	1110373.4	6338003.0	1369791.8	3888807.2	3373149.0	4156812.8	4374956.5	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.999	2	18	0	18	2	2	2	2	2	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	1	2	1	3.9515204E7	1.4562641E7	1.1168499E7	8285967.5	1.4854708E7	8180286.0	2.0678652E7	2.0814802E7	2.3331452E7	2.2196494E7	3.842422E7	1.5081734E7	9306374.0	6305479.5	1.2770347E7	5624157.5	1.8188968E7	1.908748E7	2.1912712E7	1.6163214E7	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	1.0	0.9978	3	15	15	21	2	1	1	1	2	1	2	2	1	2	2	1	1	1	2	1	2	2	1	2	3	2	2	1	3	1	2	3	1	3	8418831.0	4974260.0	2609714.5	1159237.0	4032299.8	2767121.0	7625680.0	5166032.5	4089673.0	4522854.0	6923795.5	3036971.5	1884173.0	882587.75	3143393.0	2278663.8	3771408.0	3109951.2	0.0	3453283.0	
sp|A0A0A0MT89|KJ01_HUMAN	A0A0A0MT89	KJ01_HUMAN	IGKJ1	12	Homo sapiens	4:Protein predicted	Immunoglobulin kappa joining 1	0.8421	0.9965	1	10	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2256599.5	635551.75	636135.0	542716.5	736077.06	882762.75	2188937.8	1935327.0	961871.94	895249.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U3|LV136_HUMAN	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-36	0.913	0.9982	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	687160.2	523211.38	432538.75	339061.6	0.0	0.0	1181116.4	0.0	0.0	316106.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	1.0	0.9952	2	15	15	15	2	1	2	1	2	1	1	1	2	2	2	1	2	1	2	1	1	1	2	2	2	1	2	1	2	1	1	1	2	2	1.1329995E7	2470296.0	1323845.1	1304017.2	7452128.5	7463562.0	1.6056272E7	4188000.0	5697341.0	3069756.8	1.1691058E7	2249205.0	1692271.8	924392.1	7638443.5	3428033.0	8107004.0	3513189.5	5870386.0	3924926.2	
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-15	1.0	0.9985	4	11	10	17	2	1	1	1	1	1	3	0	1	0	1	1	1	1	1	1	3	0	1	0	3	2	2	1	2	1	3	1	1	1	5.5259804E7	1.0243415E7	1.2635537E7	2.646723E7	5.7282252E7	1.4739055E7	8.12002E7	3.5721236E7	3.9234124E7	4.6115356E7	3.7799684E7	1.4043021E7	1.3687522E7	1.9311038E7	3.6227104E7	1.1983377E7	4.5159712E7	1.9619244E7	4.1762892E7	2.3960792E7	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-72	0.9877	0.9855	3	3	3	10	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	2	1	0	2	0	0	1	0	1	1344060.0	743270.2	351156.0	87198.72	1289679.4	0.0	302122.12	498479.5	1062898.1	447424.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J2D9|KVD13_HUMAN	A0A0B4J2D9	KVD13_HUMAN	IGKV1D-13	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1D-13	0.9491	0.999	1	3	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1211355.6	0.0	468270.8	0.0	0.0	200794.67	3411976.8	0.0	1296870.2	2751332.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0DP09|KV113_HUMAN
sp|A0A0B4J2H0|HV69D_HUMAN	A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-69D	0.8034	0.9955	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1230198.4	0.0	0.0	0.0	0.0	0.0	1416331.1	0.0	922677.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH24|KV621_HUMAN	A0A0C4DH24	KV621_HUMAN	IGKV6-21	114	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 6-21	0.8056	0.9955	1	2	2	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1325326.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	915084.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3D-20	0.9993	0.9974	3	10	10	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	2	2	2	3	3	7772372.5	3174101.2	2180253.2	1976248.6	7939604.0	3200158.2	4231586.0	5214135.5	5077433.5	5082092.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-18	1.0	0.999	1	7	7	7	2	1	1	1	0	1	1	0	0	0	2	1	1	1	0	1	1	0	0	0	2	1	1	1	0	1	1	0	0	0	3786690.5	2291002.0	591719.2	593377.56	349449.5	692161.44	2005974.5	828315.9	2390975.8	1840529.5	2495550.8	1815026.5	0.0	0.0	0.0	386603.1	1559537.5	0.0	1790615.5	1388714.6	
sp|A0A0C4DH33|HV124_HUMAN	A0A0C4DH33	HV124_HUMAN	IGHV1-24	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-24	0.9026	0.998	1	2	2	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	726960.2	0.0	0.0	0.0	0.0	0.0	0.0	1113549.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-28	0.9999	0.9986	2	11	11	11	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	6586856.0	919806.75	1665233.8	1397686.1	1830670.2	2491981.0	3609805.0	4001582.2	1595792.8	2944656.0	4950439.0	820232.94	1372255.9	986091.25	1462082.1	1597977.2	2755229.0	2956584.5	1414943.5	2322746.2	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	0.9986	0.9984	2	9	9	15	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	2	2	2	1	2	1	1	2	0	2	4617716.5	1119559.4	888195.06	846573.94	1467264.0	2027172.8	1506277.8	1653204.6	2096319.9	1895818.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-51	1.0	0.999	4	26	23	26	2	1	3	2	2	2	4	4	2	4	2	1	3	2	2	2	3	3	2	3	2	1	3	2	2	2	4	4	2	4	1.6524647E7	6328264.5	7612184.5	4875544.5	4504224.0	2556550.8	7804349.5	9552473.0	1.2891401E7	8381053.0	7632899.0	2853402.8	3637533.8	2296677.2	2022225.4	1300987.6	3853307.5	4849316.0	6006190.5	4115700.8	
sp|A0A0C4DH41|HV461_HUMAN	A0A0C4DH41	HV461_HUMAN	IGHV4-61	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 4-61	1.0	0.9978	2	16	0	16	2	1	2	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	1	2	2	2	2	1.6312986E7	7848985.0	1.316341E7	6757113.5	9253188.0	8269853.5	1.884214E7	1.2747337E7	1.8065264E7	1.0046003E7	1.83756E7	6185992.5	1.0638086E7	5295847.0	6835831.0	5270169.0	1.4991079E7	1.0257764E7	1.5833426E7	8344024.5	sp|P01824|HV439_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P0DP08|HVD82_HUMAN
sp|A0A0C4DH43|HV70D_HUMAN	A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-70D	0.9995	0.9825	2	10	10	10	2	1	0	0	2	1	0	1	1	2	2	1	0	0	2	1	0	1	1	2	2	1	0	0	2	1	0	1	1	2	6005148.0	2216992.8	51462.523	100789.46	1160243.8	1086339.8	46777.824	5961273.5	2778047.0	4796163.5	4521980.5	2072494.4	0.0	0.0	0.0	734906.75	0.0	4286460.5	2664759.5	5081630.0	
sp|A0A0C4DH67|KV108_HUMAN	A0A0C4DH67	KV108_HUMAN	IGKV1-8	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-8	1.0	0.999	2	9	1	9	2	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	1	1	1	1	1.2078314E7	3480403.0	2693394.2	2566035.2	2168342.2	3905469.2	4199996.5	4953383.5	5517632.0	3796050.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH73|KV112_HUMAN	A0A0C4DH73	KV112_HUMAN	IGKV1-12	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 1-12	0.999	0.9988	2	2	0	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0	1	1801537.6	561547.1	0.0	389502.38	0.0	336833.2	1245450.2	1275162.0	908004.75	741671.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P01611|KVD12_HUMAN
sp|A0A0J9YX35|HV64D_HUMAN	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64D	0.996	0.9953	2	3	3	9	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	2	1	0	1	0	0	1	1	2	1207090.2	824712.25	628405.25	0.0	0.0	0.0	721818.94	0.0	1825300.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0J9YXX1|HV5X1_HUMAN	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 5-10-1	1.0	0.9899	3	11	11	14	3	0	2	0	1	0	2	0	1	2	3	0	2	0	1	0	2	0	1	2	3	0	2	0	1	0	3	1	1	3	1.404242E7	484928.22	5865039.0	687089.3	3856241.2	509699.53	6587747.5	3810231.0	4601760.5	9782809.0	8821934.0	0.0	3459613.0	244068.39	2362437.8	0.0	4478179.5	1960213.5	7507583.0	6006497.5	
sp|A0M8Q6|IGLC7_HUMAN	A0M8Q6	IGLC7_HUMAN	IGLC7	106	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda constant 7	0.9984	0.9938	4	4	4	27	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	4	2	3	3	3	3	2	2	2	3	1462365.2	0.0	1313682.1	317091.28	848166.3	1173043.0	0.0	2346557.8	0.0	627873.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A2NJV5|KV229_HUMAN	A2NJV5	KV229_HUMAN	IGKV2-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2-29	1.0	0.999	5	5	1	25	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	5	2	2	2	2	2	3	2	2	3668399.0	1464764.4	253142.36	306128.34	524492.3	1072564.8	687604.3	3317493.0	1359913.1	599836.0	2671420.2	2205613.2	0.0	0.0	0.0	0.0	0.0	1989326.1	2068178.1	0.0	
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	Homo sapiens	1:Experimental evidence at protein level	V-set and transmembrane domain-containing protein 2B	1.0	0.9989	2	8	8	8	1	1	1	2	1	1	1	0	0	0	1	1	1	2	1	1	1	0	0	0	1	1	1	2	1	1	1	0	0	0	0.0	1707054.2	1690059.2	2099141.2	1425229.8	2339990.2	1511924.8	553405.4	0.0	1368572.0	0.0	0.0	1073671.6	1987515.1	837660.4	2060131.2	0.0	0.0	0.0	1607282.5	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	5	40	10	40	5	3	4	3	5	3	4	4	4	5	1	1	1	1	1	1	1	1	1	1	5	3	4	3	5	3	4	4	4	5	6.7753408E7	2.6658358E7	3.4225776E7	2.6601312E7	5.4649224E7	3.1777298E7	5.8387332E7	4.3661468E7	5.0199072E7	5.0354616E7	1.67831824E8	7.2219408E7	1.15328456E8	7.4266688E7	1.47179872E8	8.20132E7	1.6296176E8	1.18940696E8	1.44021952E8	1.1720872E8	
sp|O00142|KITM_HUMAN	O00142	KITM_HUMAN	TK2	265	Homo sapiens	1:Experimental evidence at protein level	Thymidine kinase 2, mitochondrial	0.7456	0.9937	1	8	8	8	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	735367.5	0.0	0.0	0.0	0.0	1311999.0	0.0	1272052.6	82162.17	1557707.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	0.9998	0.9937	2	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	585750.5	0.0	0.0	184515.0	0.0	779771.25	0.0	0.0	75016.86	0.0	324936.72	0.0	0.0	0.0	0.0	441201.16	0.0	0.0	0.0	0.0	sp|Q13838|DX39B_HUMAN
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0	0.9979	6	13	13	13	1	0	1	4	0	3	2	0	0	2	1	0	1	4	0	3	2	0	0	2	1	0	1	4	0	3	2	0	0	2	1747826.0	2011536.8	1839586.5	1946261.5	1723088.5	1662722.4	2942486.5	2086858.4	1516392.5	2110416.0	664925.0	941247.56	710199.7	747140.7	725899.7	715356.1	1104189.9	822461.7	601770.56	771957.0	
sp|O00451|GFRA2_HUMAN	O00451	GFRA2_HUMAN	GFRA2	464	Homo sapiens	1:Experimental evidence at protein level	GDNF family receptor alpha-2	1.0	0.9946	2	6	6	6	0	0	1	2	0	1	1	0	0	1	0	0	1	2	0	1	1	0	0	1	0	0	1	2	0	1	1	0	0	1	330402.7	168115.34	352549.3	838690.3	367081.66	485864.6	395313.7	170130.27	0.0	479311.53	0.0	0.0	697185.56	1138816.2	0.0	606993.2	0.0	0.0	0.0	855782.5	
